id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-822679;2020-07-03;000001;Vente;665000;21;;RUE DU DEPART;2707;75014;75114;Paris 14e Arrondissement;75;;;75114000AH0064;;;368;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;12;0;;;;;;2.3239;48.842079
2020-822679;2020-07-03;000001;Vente;665000;16;;RUE D ODESSA;6875;75014;75114;Paris 14e Arrondissement;75;;;75114000AH0064;;;714;78.05;;;;;;;;;1;4;Local industriel. commercial ou assimilé;81;0;;;;;;2.3239;48.842079
2020-822680;2020-07-03;000001;Vente;780000;2;;RUE DE GRANCEY;4267;75014;75114;Paris 14e Arrondissement;75;;;75114000AN0071;;;10;;5;65.6;9;;;;;;3;2;Appartement;65;3;;;;;;2.330634;48.833903
2020-822681;2020-07-06;000001;Vente;108000;7;;RUE ANTOINE CHANTIN;0376;75014;75114;Paris 14e Arrondissement;75;;;75114000CH0089;;;32;8.24;;;;;;;;;1;2;Appartement;9;1;;;;;;2.322694;48.826951
2020-822682;2020-07-06;000001;Vente;420000;121;;AV DU GENERAL LECLERC;4063;75014;75114;Paris 14e Arrondissement;75;;;75114000BX0092;;;276;;42;43;;;;;;;2;2;Appartement;43;2;;;;;;2.326689;48.823881
2020-822683;2020-07-03;000001;Vente;137400;3;;RUE EDOUARD JACQUES;3146;75014;75114;Paris 14e Arrondissement;75;;;75114000DQ0109;;;11;9.24;;;;;;;;;1;2;Appartement;15;1;;;;;;2.322038;48.83562
2020-822684;2020-07-07;000001;Vente;11800;226;;AV DU MAINE;5922;75014;75114;Paris 14e Arrondissement;75;;;75114000CI0051;;;593;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.325697;48.828574
2020-822685;2020-07-06;000001;Vente;342000;1;;RUE NIEPCE;6776;75014;75114;Paris 14e Arrondissement;75;;;75114000DQ0053;;;1;71.81;100;;;;;;;;2;4;Local industriel. commercial ou assimilé;48;0;;;;;;2.318111;48.835256
2020-822686;2020-07-06;000001;Vente;940000;1;;RUE GAZAN;4002;75014;75114;Paris 14e Arrondissement;75;;;75114000AY0003;;;1025;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.340734;48.82411
2020-822686;2020-07-06;000001;Vente;940000;1;;RUE GAZAN;4002;75014;75114;Paris 14e Arrondissement;75;;;75114000AY0003;;;278;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.340734;48.82411
2020-822686;2020-07-06;000001;Vente;940000;1;;RUE GAZAN;4002;75014;75114;Paris 14e Arrondissement;75;;;75114000AY0003;;;1024;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.340734;48.82411
2020-822686;2020-07-06;000001;Vente;940000;1;;RUE GAZAN;4002;75014;75114;Paris 14e Arrondissement;75;;;75114000AY0003;;;213;;;;;;;;;;1;2;Appartement;97;5;;;;;;2.340734;48.82411
2020-822687;2020-07-03;000001;Vente;600000;25;;RUE DU PARC DE MONTSOURIS;7050;75014;75114;Paris 14e Arrondissement;75;;;75114000BK0050;;;208;55.95;228;;;;;;;;2;2;Appartement;56;3;;;;;;2.334794;48.82278
2020-822688;2020-07-03;000001;Vente;300000;202;;AV DU MAINE;5922;75014;75114;Paris 14e Arrondissement;75;;;75114000CJ0008;;;30;;5;;;;;;;;2;4;Local industriel. commercial ou assimilé;28;0;;;;;;2.325208;48.830373
2020-822689;2020-07-10;000001;Vente;25000;25;;RUE DE L OUEST;6978;75014;75114;Paris 14e Arrondissement;75;;;75114000DR0230;;;143;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.321297;48.836678
2020-822690;2020-07-02;000001;Vente;1040000;98;;AV DU GENERAL LECLERC;4063;75014;75114;Paris 14e Arrondissement;75;;;75114000CI0066;;;6;;;;;;;;;;1;2;Appartement;100;5;;;;;;2.326015;48.827113
2020-822691;2020-07-01;000001;Vente;400000;82;;BD DU MONTPARNASSE;6522;75014;75114;Paris 14e Arrondissement;75;;;75114000AH0070;;;439;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.325597;48.842644
2020-822691;2020-07-01;000001;Vente;400000;48;;RUE DU MONTPARNASSE;6523;75014;75114;Paris 14e Arrondissement;75;;;75114000AH0070;;;177;;354;;;;;;;;2;2;Appartement;32;1;;;;;;2.325597;48.842644
2020-822692;2020-07-03;000001;Vente;390000;10;;RUE POIRIER DE NARCAY;7556;75014;75114;Paris 14e Arrondissement;75;;;75114000BX0011;;;29;;9;;;;;;;;2;2;Appartement;29;2;;;;;;2.324502;48.824331
2020-822693;2020-07-10;000001;Vente;623730;61;;RUE DE GERGOVIE;4171;75014;75114;Paris 14e Arrondissement;75;;;75114000CQ0075;;;31;;8;;;;;;;;2;2;Appartement;60;3;;;;;;2.317463;48.832266
2020-822694;2020-07-09;000001;Vente;21000;12;;RUE MONTBRUN;6461;75014;75114;Paris 14e Arrondissement;75;;;75114000BT0050;;;115;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.32982;48.828599
2020-822695;2020-07-09;000001;Vente;91000;87;;AV DENFERT ROCHEREAU;2692;75014;75114;Paris 14e Arrondissement;75;;;75114000AP0004;;;34;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.33383;48.835223
2020-822696;2020-07-02;000001;Vente;23000;33;;RUE DU COMMANDT RENE MOUCHOTTE;2236;75014;75114;Paris 14e Arrondissement;75;;;75114000DS0005;;;1427;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.319718;48.837649
2020-822697;2020-07-09;000001;Vente;22000;6;;RUE FERRUS;3623;75014;75114;Paris 14e Arrondissement;75;;;75114000AT0048;;;376;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.339769;48.830995
2020-822698;2020-07-06;000001;Vente;510000;98;;AV DENFERT ROCHEREAU;2692;75014;75114;Paris 14e Arrondissement;75;;;75114000AO0022;;;12;;15;61.84;47;;;;;;3;4;Local industriel. commercial ou assimilé;45;0;;;;;;2.333054;48.835614
2020-822698;2020-07-06;000001;Vente;510000;98;;AV DENFERT ROCHEREAU;2692;75014;75114;Paris 14e Arrondissement;75;;;75114000AO0022;;;12;;15;61.84;47;;;;;;3;4;Local industriel. commercial ou assimilé;15;0;;;;;;2.333054;48.835614
2020-822699;2020-07-07;000001;Vente;22500;37;;RUE LOUIS MORARD;5798;75014;75114;Paris 14e Arrondissement;75;;;75114000CS0107;;;29;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.319325;48.828967
2020-822700;2020-07-08;000001;Vente;8740;164;;RUE D ALESIA;0143;75014;75114;Paris 14e Arrondissement;75;;;75114000CQ0005;;;40;;;;;;;;;;1;2;Appartement;23;2;;;;;;2.315181;48.831795
2020-822701;2020-07-02;000001;Vente;841000;68;;RUE HALLE;4458;75014;75114;Paris 14e Arrondissement;75;;;75114000BS0012;;;50;72.45;51;;;;;;;;2;2;Appartement;71;3;;;;;;2.330619;48.829233
