id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-815756;2020-10-05;000001;Vente;1160000;24;;RUE DE GRAMONT;4265;75002;75102;Paris 2e Arrondissement;75;;;75102000AG0008;;;33;;6;;;;;;;;2;2;Appartement;46;2;;;;;;2.337086;48.870717
2020-815756;2020-10-05;000001;Vente;1160000;24;;RUE DE GRAMONT;4265;75002;75102;Paris 2e Arrondissement;75;;;75102000AG0008;;;1;;35;;;;;;;;2;2;Appartement;56;3;;;;;;2.337086;48.870717
2020-815774;2020-07-27;000001;Vente;1500;123;;RUE D ABOUKIR;0040;75002;75102;Paris 2e Arrondissement;75;;;75102000AO0162;;;176;;;;;;;;;;1;2;Appartement;23;1;;;;;;2.350353;48.868914
2020-833841;2020-07-01;000001;Vente;60000;62;;RUE MONTORGUEIL;6520;75002;75102;Paris 2e Arrondissement;75;;;75102000AL0009;;;177;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.347306;48.865275
2020-833843;2020-07-01;000001;Vente;618860;11;;RUE MANDAR;5974;75002;75102;Paris 2e Arrondissement;75;;;75102000AK0042;;;16;;18;;;;;;;;2;2;Appartement;39;2;;;;;;2.345238;48.865668
2020-833844;2020-07-02;000001;Vente;165000;36;;RUE GRENETA;4318;75002;75102;Paris 2e Arrondissement;75;;;75102000AM0118;;;14;16.56;;;;;;;;;1;2;Appartement;8;1;;;;;;2.349232;48.865419
2020-833845;2020-07-09;000001;Vente;1280000;98;;RUE MONTORGUEIL;6520;75002;75102;Paris 2e Arrondissement;75;;;75102000AM0156;;;39;;40;;50;82.21;;;;;3;2;Appartement;89;3;;;;;;2.347389;48.866135
2020-833846;2020-07-02;000001;Vente;33500;10;;RUE DE LA PAIX;6998;75002;75102;Paris 2e Arrondissement;75;;;75102000AB0050;;;58;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;12;0;;;;;;2.33156;48.868834
2020-833847;2020-07-02;000001;Vente;39000;10;;RUE DE LA PAIX;6998;75002;75102;Paris 2e Arrondissement;75;;;75102000AB0050;;;96;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;20;0;;;;;;2.33156;48.868834
2020-833847;2020-07-02;000001;Vente;39000;10;;RUE DE LA PAIX;6998;75002;75102;Paris 2e Arrondissement;75;;;75102000AB0050;;;95;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;10;0;;;;;;2.33156;48.868834
2020-833848;2020-07-01;000001;Vente;1;16;;RUE MARIE STUART;6084;75002;75102;Paris 2e Arrondissement;75;;;75102000AL0011;;;44;;;;;;;;;;1;2;Appartement;100;4;;;;;;2.347561;48.865125
2020-833855;2020-07-01;000001;Vente;269000;3;;RUE N D DE BONNE NOUVELLE;6828;75002;75102;Paris 2e Arrondissement;75;;;75102000AO0047;;;25;22.07;;;;;;;;;1;2;Appartement;22;1;;;;;;2.349453;48.86953
2020-833857;2020-07-17;000001;Vente;2000;47;;RUE D ABOUKIR;0040;75002;75102;Paris 2e Arrondissement;75;;;75102000AJ0044;;;39;;;;;;;;;;1;2;Appartement;29;1;;;;;;2.345464;48.86743
2020-833858;2020-07-17;000002;Vente;282470;47;;RUE D ABOUKIR;0040;75002;75102;Paris 2e Arrondissement;75;;;75102000AJ0044;;;18;21.92;;;;;;;;;1;2;Appartement;20;1;;;;;;2.345464;48.86743
2020-833860;2020-07-06;000001;Vente;463625;12;;RUE DES PETITS CARREAUX;7346;75002;75102;Paris 2e Arrondissement;75;;;75102000AM0004;;;121;;29;34.39;;;;;;;2;2;Appartement;30;2;;;;;;2.347585;48.86667
2020-833863;2020-07-07;000001;Vente;380000;96;;RUE DE CLERY;2110;75002;75102;Paris 2e Arrondissement;75;;;75102000AO0133;;;115;38.59;;;;;;;;;1;2;Appartement;40;2;;;;;;2.351626;48.86945
2020-833864;2020-07-01;000001;Vente;987000;13;;RUE POISSONNIERE;7561;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0071;;;7;74.5;;;;;;;;;1;2;Appartement;74;2;;;;;;2.347252;48.86921
2020-833868;2020-07-17;000001;Vente;75000;104;;RUE DE RICHELIEU;8212;75002;75102;Paris 2e Arrondissement;75;;;75102000AG0044;;;226;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.340274;48.871079
2020-833868;2020-07-17;000001;Vente;75000;104;;RUE DE RICHELIEU;8212;75002;75102;Paris 2e Arrondissement;75;;;75102000AG0044;;;227;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.340274;48.871079
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5047;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5046;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5045;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5044;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5024;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5023;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5049;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;5022;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
2020-833869;2020-07-15;000001;Vente;420000;4;;RUE SAINT FIACRE;8609;75002;75102;Paris 2e Arrondissement;75;;;75102000AH0039;;;3034;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;11;0;;;;;;2.345598;48.869531
