id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-821741;2020-07-03;000001;Vente;230000;20;;RUE ALBERT;0114;75013;75113;Paris 13e Arrondissement;75;;;75113000CO0040;;;43;24.25;73;;;;;;;;2;2;Appartement;26;1;;;;;;2.373337;48.824729
2020-821742;2020-07-01;000001;Vente en l'état futur d'achèvement;556000;8;;RUE LEREDDE;5597;75013;75113;Paris 13e Arrondissement;75;;;75113000CG0067;;;26;;;;;;;;;;1;2;Appartement;46;2;;;;;;2.373506;48.828378
2020-821743;2020-07-03;000001;Vente;117000;9;;RUE BELLIER DEDOUVRE;0841;75013;75113;Paris 13e Arrondissement;75;;;75113000DN0094;;;19;11.6;;;;;;;;;1;2;Appartement;20;1;;;;;;2.350431;48.824468
2020-821744;2020-07-01;000001;Vente;678550;137;;BD AUGUSTE BLANQUI;0541;75013;75113;Paris 13e Arrondissement;75;;;75113000EI0008;;;229;;306;68.5;;;;;;;2;2;Appartement;73;4;;;;;;2.343255;48.830555
2020-821744;2020-07-01;000001;Vente;678550;159;;BD AUGUSTE BLANQUI;0541;75013;75113;Paris 13e Arrondissement;75;;;75113000EI0009;;;554;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.341709;48.830811
2020-821745;2020-07-02;000001;Vente;620000;30;;AV D ITALIE;4754;75013;75113;Paris 13e Arrondissement;75;;;75113000EA0082;;;3539;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.354633;48.829151
2020-821745;2020-07-02;000001;Vente;620000;40;;AV D ITALIE;4754;75013;75113;Paris 13e Arrondissement;75;;;75113000EA0082;;;2231;;2251;79.28;;;;;;;2;2;Appartement;80;4;;;;;;2.354633;48.829151
2020-821746;2020-07-07;000001;Vente;490000;30;;RUE JEAN COLLY;4871;75013;75113;Paris 13e Arrondissement;75;;;75113000BH0002;;;480;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.36863;48.828483
2020-821746;2020-07-07;000001;Vente;490000;13;;PL SOUHAM;9044;75013;75113;Paris 13e Arrondissement;75;;;75113000BH0002;;;70;;71;;;;;;;;2;2;Appartement;68;3;;;;;;2.36863;48.828483
2020-821747;2020-07-06;000001;Vente;637500;99;;AV D ITALIE;4754;75013;75113;Paris 13e Arrondissement;75;;;75113000DU0014;;;123;;29;;;;;;;;2;2;Appartement;66;3;;;;;;2.358749;48.823086
2020-821748;2020-07-02;000001;Vente;645000;35;;RUE ESQUIROL;3366;75013;75113;Paris 13e Arrondissement;75;;;75113000AQ0027;;;15;;202;;;;;;;;2;2;Appartement;60;3;;;;;;2.359532;48.835421
2020-821749;2020-07-02;000001;Vente;680000;147;;BD AUGUSTE BLANQUI;0541;75013;75113;Paris 13e Arrondissement;75;;;75113000EI0008;;;480;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;160;0;;;;;;2.343255;48.830555
2020-821750;2020-07-02;000001;Vente;430000;10;;VLA D ESTE;3371;75013;75113;Paris 13e Arrondissement;75;;;75113000CV0005;;;1141;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.367319;48.821948
2020-821750;2020-07-02;000001;Vente;430000;10;;VLA D ESTE;3371;75013;75113;Paris 13e Arrondissement;75;;;75113000CV0005;;;162;;522;;;;;;;;2;2;Appartement;68;3;;;;;;2.367319;48.821948
2020-821751;2020-07-10;000001;Vente;660000;102;;BD KELLERMANN;5146;75013;75113;Paris 13e Arrondissement;75;;;75113000DI0006;;;78;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.345656;48.820082
2020-821751;2020-07-10;000001;Vente;660000;102;;BD KELLERMANN;5146;75013;75113;Paris 13e Arrondissement;75;;;75113000DI0006;;;17;;57;;;;;;;;2;2;Appartement;75;3;;;;;;2.345656;48.820082
2020-821752;2020-07-07;000001;Vente;556000;79;;BD SAINT MARCEL;8690;75013;75113;Paris 13e Arrondissement;75;;;75113000AS0013;;;13;51.13;;;;;;;;;1;2;Appartement;55;2;;;;;;2.352988;48.836859
2020-821753;2020-07-06;000001;Vente;474000;7;;SQ ALBIN CACHOT;0132;75013;75113;Paris 13e Arrondissement;75;;;75113000EJ0004;;;108;;607;;;;;;;;2;2;Appartement;46;3;;;;;;2.343348;48.833019
2020-821754;2020-07-06;000001;Vente;327267;74;;RUE DUNOIS;2992;75013;75113;Paris 13e Arrondissement;75;;;75113000BN0002;;;361;;403;;;;;;;;2;2;Appartement;32;1;;;;;;2.36727;48.83372
2020-821755;2020-07-02;000001;Vente;545000;20;;RUE ALBERT;0114;75013;75113;Paris 13e Arrondissement;75;;;75113000CO0040;;;50;;68;;;;;;;;2;2;Appartement;43;3;;;;;;2.373337;48.824729
2020-821755;2020-07-02;000001;Vente;545000;20;;RUE ALBERT;0114;75013;75113;Paris 13e Arrondissement;75;;;75113000CO0040;;;49;57.68;69;;;;;;;;2;2;Appartement;19;1;;;;;;2.373337;48.824729
2020-821757;2020-07-08;000001;Vente;325000;156;;BD MASSENA;6155;75013;75113;Paris 13e Arrondissement;75;;;75113000DS0020;;;18;;8;;;;;;;;2;2;Appartement;37;2;;;;;;2.361019;48.819411
2020-821758;2020-07-02;000001;Vente;8200;30;;AV D ITALIE;4754;75013;75113;Paris 13e Arrondissement;75;;;75113000EA0082;;;4000;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.354633;48.829151
2020-821759;2020-07-09;000001;Vente;271000;92;;RUE BROCA;1313;75013;75113;Paris 13e Arrondissement;75;;;75113000EL0029;;;3;;;;;;;;;;1;2;Appartement;25;1;;;;;;2.346143;48.835846
2020-821760;2020-07-10;000001;Vente;590000;39;;RUE VANDREZANNE;9583;75013;75113;Paris 13e Arrondissement;75;;;75113000DZ0004;;;16;;22;58.95;;;;;;;2;2;Appartement;63;2;;;;;;2.353137;48.827558
2020-821761;2020-07-09;000001;Vente;693750;28;;RUE WURTZ;9968;75013;75113;Paris 13e Arrondissement;75;;;75113000DL0068;;;101;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.343223;48.825555
2020-821761;2020-07-09;000001;Vente;693750;28;;RUE WURTZ;9968;75013;75113;Paris 13e Arrondissement;75;;;75113000DL0068;;;101;;208;;30;;;;;;3;2;Appartement;71;1;;;;;;2.343223;48.825555
2020-821762;2020-07-01;000001;Vente;725000;124;;BD AUGUSTE BLANQUI;0541;75013;75113;Paris 13e Arrondissement;75;;;75113000EJ0023;;;63;69.69;;;;;;;;;1;2;Appartement;74;3;;;;;;2.342809;48.831947
2020-821763;2020-07-01;000001;Vente;190000;17;;RUE DUNOIS;2992;75013;75113;Paris 13e Arrondissement;75;;;75113000BL0073;;;609;16.1;;;;;;;;;1;2;Appartement;16;1;;;;;;2.369463;48.83027
2020-821763;2020-07-01;000001;Vente;190000;17;;RUE DUNOIS;2992;75013;75113;Paris 13e Arrondissement;75;;;75113000BL0073;;;640;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.369463;48.83027
2020-821764;2020-07-09;000001;Vente;522500;172;;AV DE CHOISY;2015;75013;75113;Paris 13e Arrondissement;75;;;75113000AY0007;;;124;;920;;;;;;;;2;2;Appartement;74;3;;;;;;2.357395;48.83038
2020-821764;2020-07-09;000001;Vente;522500;172;;AV DE CHOISY;2015;75013;75113;Paris 13e Arrondissement;75;;;75113000AY0007;;;330;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.357395;48.83038
2020-821765;2020-07-10;000001;Vente;300000;5;;RUE LEREDDE;5597;75013;75113;Paris 13e Arrondissement;75;;;75113000CG0071;;;210;28.74;641;;;;;;;;2;2;Appartement;28;1;;;;;;2.374125;48.828751
2020-821765;2020-07-10;000001;Vente;300000;5;;RUE LEREDDE;5597;75013;75113;Paris 13e Arrondissement;75;;;75113000CG0071;;;741;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.374125;48.828751
2020-821766;2020-07-01;000001;Vente;880000;48;;RUE DE TOLBIAC;9337;75013;75113;Paris 13e Arrondissement;75;;;75113000BH0056;;;10;83.66;;;;;;;;;1;2;Appartement;83;4;;;;;;2.370459;48.827712
2020-821767;2020-07-01;000001;Vente;1330000;54;B;RUE GERARD;4162;75013;75113;Paris 13e Arrondissement;75;;;75113000EC0196;;;1;103.11;;;;;;;;;1;2;Appartement;105;4;;;;;;2.351709;48.829191
2020-821768;2020-07-15;000001;Vente;36500;71;;RUE BROCA;1313;75013;75113;Paris 13e Arrondissement;75;;;75113000EN0003;;;160;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.347213;48.836781
2020-821769;2020-07-08;000001;Vente;210000;169;;RUE DE TOLBIAC;9337;75013;75113;Paris 13e Arrondissement;75;;;75113000DW0052;;;3;23.77;;;;;;;;;1;4;Local industriel. commercial ou assimilé;21;0;;;;;;2.354056;48.825824
2020-821770;2020-07-10;000001;Vente;313905;4;;RUE CAILLAUX;1423;75013;75113;Paris 13e Arrondissement;75;;;75113000DU0023;;;23;28.06;;;;;;;;;1;2;Appartement;28;2;;;;;;2.361735;48.822968
2020-821771;2020-07-06;000001;Vente;664500;160;;RUE JEANNE D ARC;4930;75013;75113;Paris 13e Arrondissement;75;;;75113000AL0043;;;42;55.4;7;;;;;;;;2;2;Appartement;55;3;;;;;;2.359071;48.836968
