id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-815782;2020-07-02;000001;Vente;2600000;58;;RUE BONAPARTE;1087;75006;75106;Paris 6e Arrondissement;75;;;75106000BJ0065;;;119;;120;;;;;;;;2;2;Appartement;65;3;;;;;;2.332883;48.852869
2020-815782;2020-07-02;000001;Vente;2600000;58;;RUE BONAPARTE;1087;75006;75106;Paris 6e Arrondissement;75;;;75106000BJ0065;;;114;;115;;;;;;;;2;2;Appartement;60;4;;;;;;2.332883;48.852869
2020-815786;2020-07-01;000001;Vente;2320000;108;;RUE DE RENNES;8151;75006;75106;Paris 6e Arrondissement;75;;;75106000BG0015;;;1;;19;;;;;;;;2;2;Appartement;190;7;;;;;;2.328107;48.848781
2020-815792;2020-07-06;000001;Vente;1100000;9;;RUE DE SAVOIE;8861;75006;75106;Paris 6e Arrondissement;75;;;75106000AE0022;;;17;;7;81.27;;;;;;;2;2;Appartement;80;4;;;;;;2.341408;48.854133
2020-815793;2020-07-10;000001;Vente;6590000;53;B;QUAI DES GRANDS AUGUSTINS;4284;75006;75106;Paris 6e Arrondissement;75;;;75106000AC0124;;;8;219.6;;;;;;;;;1;2;Appartement;211;6;;;;;;2.341081;48.855346
2020-815793;2020-07-10;000001;Vente;6590000;53;B;QUAI DES GRANDS AUGUSTINS;4284;75006;75106;Paris 6e Arrondissement;75;;;75106000AC0124;;;8;219.6;;;;;;;;;1;3;Dépendance;;0;;;;;;2.341081;48.855346
2020-815794;2020-07-08;000001;Vente;80000;24;;RUE DU CHERCHE-MIDI;1978;75006;75106;Paris 6e Arrondissement;75;;;75106000BH0028;;;56;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.327748;48.850819
2020-815801;2020-07-10;000001;Vente;4500000;118;;RUE DE VAUGIRARD;9624;75006;75106;Paris 6e Arrondissement;75;;;75106000AZ0037;;;1185;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.321109;48.845699
2020-815801;2020-07-10;000001;Vente;4500000;118;;RUE DE VAUGIRARD;9624;75006;75106;Paris 6e Arrondissement;75;;;75106000AZ0037;;;1186;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.321109;48.845699
2020-815801;2020-07-10;000001;Vente;4500000;6;;ALL MAINTENON;5925;75006;75106;Paris 6e Arrondissement;75;;;75106000AZ0051;;;;;;;;;;;;;0;1;Maison;173;6;S;sols;;;174;2.321554;48.845993
2020-815807;2020-07-09;000001;Vente;1880000;2;;RUE SEGUIER;8907;75006;75106;Paris 6e Arrondissement;75;;;75106000AC0135;;;17;;18;;6;;7;;;;4;2;Appartement;91;3;;;;;;2.34228;48.854485
2020-815822;2020-07-06;000001;Vente;728550;4;;RUE SUGER;9117;75006;75106;Paris 6e Arrondissement;75;;;75106000AE0095;;;11;;12;;24;;;;;;3;2;Appartement;16;1;;;;;;2.342491;48.853097
2020-815822;2020-07-06;000001;Vente;728550;4;;RUE SUGER;9117;75006;75106;Paris 6e Arrondissement;75;;;75106000AE0095;;;10;51.85;;;;;;;;;1;2;Appartement;30;2;;;;;;2.342491;48.853097
2020-815823;2020-07-20;000001;Vente;385000;17;;RUE GREGOIRE DE TOURS;4306;75006;75106;Paris 6e Arrondissement;75;;;75106000AD0031;;;11;26.52;;;;;;;;;1;2;Appartement;13;1;;;;;;2.337995;48.853031
2020-815824;2020-07-20;000001;Vente;1460000;6;;RUE JACOB;4771;75006;75106;Paris 6e Arrondissement;75;;;75106000BK0028;;;29;;9;64.11;;;;;;;2;2;Appartement;65;3;;;;;;2.3363;48.854853
2020-815833;2020-07-03;000001;Vente;60000;12;;RUE GUYNEMER;4442;75006;75106;Paris 6e Arrondissement;75;;;75106000AM0012;;;17;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.332165;48.847621
2020-815835;2020-07-15;000001;Vente;660000;77;;RUE DE SEINE;8913;75006;75106;Paris 6e Arrondissement;75;;;75106000AD0001;;;11;38.14;;;;;;;;;1;2;Appartement;36;2;;;;;;2.337122;48.853739
2020-815836;2020-07-20;000001;Vente;65000;28;;RUE D ASSAS;0499;75006;75106;Paris 6e Arrondissement;75;;;75106000BG0025;;;86;;;;;;;;;;1;2;Appartement;171;6;;;;;;2.329019;48.847959
2020-815838;2020-07-01;000001;Vente;210000;107;;RUE DU CHERCHE-MIDI;1978;75006;75106;Paris 6e Arrondissement;75;;;75106000AZ0047;;;50;14.44;;;;;;;;;1;2;Appartement;15;1;;;;;;2.320704;48.846085
2020-815840;2020-07-20;000001;Vente;30000;109;;RUE DU CHERCHE-MIDI;1978;75006;75106;Paris 6e Arrondissement;75;;;75106000AZ0005;;;166;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.320427;48.845756
2020-815847;2020-07-20;000001;Vente;570000;58;;RUE DU CHERCHE-MIDI;1978;75006;75106;Paris 6e Arrondissement;75;;;75106000BE0013;;;48;45.11;;;;;;;;;1;2;Appartement;44;2;;;;;;2.324841;48.84911
2020-815856;2020-07-15;000001;Vente;15000;99;;RUE DE SEVRES;8955;75006;75106;Paris 6e Arrondissement;75;;;75106000BD0035;;;1133;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.321273;48.84818
2020-815858;2020-07-22;000001;Vente;45000;109;;RUE DU CHERCHE-MIDI;1978;75006;75106;Paris 6e Arrondissement;75;;;75106000AZ0005;;;181;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.320427;48.845756
2020-815859;2020-07-22;000001;Vente;130000;27;;RUE VAVIN;9634;75006;75106;Paris 6e Arrondissement;75;;;75106000AT0027;;;8;;;;;;;;;;1;2;Appartement;19;1;;;;;;2.32982;48.843243
2020-815861;2020-07-22;000001;Vente;1500000;93;;BD RASPAIL;8045;75006;75106;Paris 6e Arrondissement;75;;;75106000AV0010;;;62;80.51;;;;;;;;;1;2;Appartement;84;4;;;;;;2.328471;48.847267
2020-815861;2020-07-22;000001;Vente;1500000;93;;BD RASPAIL;8045;75006;75106;Paris 6e Arrondissement;75;;;75106000AV0010;;;93;;;;;;;;;;1;2;Appartement;53;2;;;;;;2.328471;48.847267
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;48;4;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;75;4;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;48;4;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;75;4;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;48;3;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;75;4;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;48;3;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;2;Appartement;8;1;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;3;Dépendance;;0;S;sols;;;275;2.325901;48.847494
2020-815863;2020-07-16;000001;Vente;4000000;37;;RUE DE L ABBE GREGOIRE;0010;75006;75106;Paris 6e Arrondissement;75;;;75106000BF0010;;;;;;;;;;;;;0;4;Local industriel. commercial ou assimilé;35;0;S;sols;;;275;2.325901;48.847494
