id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-815751;2020-10-08;000001;Vente;500;17;B;RUE DE PARADIS;7043;75010;75110;Paris 10e Arrondissement;75;;;75110000AS0055;;;55;;;;;;;;;;1;2;Appartement;155;6;;;;;;2.352941;48.874675
2020-815751;2020-10-08;000001;Vente;500;17;B;RUE DE PARADIS;7043;75010;75110;Paris 10e Arrondissement;75;;;75110000AS0055;;;55;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.352941;48.874675
2020-815752;2020-10-08;000001;Vente;1;17;B;RUE DE PARADIS;7043;75010;75110;Paris 10e Arrondissement;75;;;75110000AS0055;;;54;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.352941;48.874675
2020-815752;2020-10-08;000001;Vente;1;17;B;RUE DE PARADIS;7043;75010;75110;Paris 10e Arrondissement;75;;;75110000AS0055;;;54;;;;;;;;;;1;2;Appartement;130;4;;;;;;2.352941;48.874675
2020-815754;2020-12-28;000001;Vente;340000;4;;RUE PIERRE DUPONT;7428;75010;75110;Paris 10e Arrondissement;75;;;75110000BS0032;;;42;34.06;;;;;;;;;1;2;Appartement;35;2;;;;;;2.364791;48.878748
2020-815754;2020-12-28;000001;Vente;340000;4;;RUE PIERRE DUPONT;7428;75010;75110;Paris 10e Arrondissement;75;;;75110000BS0032;;;16;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.364791;48.878748
2020-815760;2020-10-08;000001;Vente;500;17;B;RUE DE PARADIS;7043;75010;75110;Paris 10e Arrondissement;75;;;75110000AS0055;;;50;;;;;;;;;;1;2;Appartement;155;6;;;;;;2.352941;48.874675
2020-815760;2020-10-08;000001;Vente;500;17;B;RUE DE PARADIS;7043;75010;75110;Paris 10e Arrondissement;75;;;75110000AS0055;;;52;;53;;;;;;;;2;2;Appartement;108;3;;;;;;2.352941;48.874675
2020-815768;2020-12-17;000001;Adjudication;820000;221;A;RUE LA FAYETTE;5240;75010;75110;Paris 10e Arrondissement;75;;;75110000AF0062;;;1141;;152;;;;;;;;2;3;Dépendance;;0;;;;;;2.365057;48.882214
2020-815768;2020-12-17;000001;Adjudication;820000;221;A;RUE LA FAYETTE;5240;75010;75110;Paris 10e Arrondissement;75;;;75110000AF0062;;;1141;;152;;;;;;;;2;2;Appartement;126;5;;;;;;2.365057;48.882214
