id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-814510;2020-07-01;000001;Vente;270000;9;;RUE HEROLD;4619;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0010;;;5;23.05;;;;;;;;;1;2;Appartement;27;2;;;;;;2.341301;48.864895
2020-814514;2020-07-06;000001;Vente;2603550;3;;RUE DE L ECHELLE;3082;75001;75101;Paris 1er Arrondissement;75;;;75101000AX0084;;;18;144.04;4;;;;;;;;2;2;Appartement;137;6;;;;;;2.333735;48.863683
2020-814514;2020-07-06;000001;Vente;2603550;3;;RUE DE L ECHELLE;3082;75001;75101;Paris 1er Arrondissement;75;;;75101000AX0084;;;12;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.333735;48.863683
2020-814515;2020-07-02;000001;Vente;1112000;98;;RUE SAINT DENIS;8525;75001;75101;Paris 1er Arrondissement;75;;;75101000AQ0121;;;21;;28;83.14;;;;;;;2;2;Appartement;84;4;;;;;;2.35017;48.863265
2020-814517;2020-07-02;000001;Vente;1670000;20;;RUE DES BONS ENFANTS;1105;75001;75101;Paris 1er Arrondissement;75;;;75101000AU0018;;;34;;9;107.29;;;;;;;2;2;Appartement;120;5;;;;;;2.338875;48.86343
2020-814517;2020-07-02;000001;Vente;1670000;20;;RUE DES BONS ENFANTS;1105;75001;75101;Paris 1er Arrondissement;75;;;75101000AU0018;;;75;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.338875;48.86343
2020-814517;2020-07-02;000001;Vente;1670000;20;;RUE DES BONS ENFANTS;1105;75001;75101;Paris 1er Arrondissement;75;;;75101000AU0018;;;20;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.338875;48.86343
2020-814522;2020-07-09;000001;Vente;314150;23;;RUE DE RICHELIEU;8212;75001;75101;Paris 1er Arrondissement;75;;;75101000AX0056;;;20;24.32;;;;;;;;;1;2;Appartement;24;1;;;;;;2.33597;48.864847
2020-814533;2020-07-08;000001;Vente;2000;19;;RUE DU ROULE;8397;75001;75101;Paris 1er Arrondissement;75;;;75101000AT0090;;;18;;19;;;;;;;;2;2;Appartement;55;1;;;;;;2.343736;48.860919
2020-814548;2020-07-03;000001;Vente;1010000;2;;RUE DES PRECHEURS;7794;75001;75101;Paris 1er Arrondissement;75;;;75101000AP0041;;;24;;32;;8;110.02;9;;;;4;2;Appartement;110;5;;;;;;2.349117;48.861982
2020-814555;2020-07-06;000001;Vente;80000;3;;RUE DE L ECHELLE;3082;75001;75101;Paris 1er Arrondissement;75;;;75101000AX0084;;;14;2;;;;;;;;;1;3;Dépendance;;0;;;;;;2.333735;48.863683
2020-814556;2020-07-02;000001;Vente;117000;26;;RUE DU MONT THABOR;6537;75001;75101;Paris 1er Arrondissement;75;;;75101000BD0034;;;48;6.2;;;;;;;;;1;3;Dépendance;;0;;;;;;2.327284;48.866398
2020-814561;2020-07-07;000001;Vente;950000;57;;RUE DE RIVOLI;8249;75001;75101;Paris 1er Arrondissement;75;;;75101000AN0017;;;14;117.44;;;;;;;;;1;2;Appartement;118;4;;;;;;2.345829;48.859094
2020-814561;2020-07-07;000001;Vente;950000;57;;RUE DE RIVOLI;8249;75001;75101;Paris 1er Arrondissement;75;;;75101000AN0017;;;25;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;5;0;;;;;;2.345829;48.859094
2020-814562;2020-07-07;000001;Vente;1561000;8;;RUE DU JOUR;5033;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0119;;;104;;107;111.71;;;;;;;2;4;Local industriel. commercial ou assimilé;14;0;;;;;;2.345183;48.863799
2020-814562;2020-07-07;000001;Vente;1561000;8;;RUE DU JOUR;5033;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0119;;;108;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;27;0;;;;;;2.345183;48.863799
2020-814562;2020-07-07;000001;Vente;1561000;8;;RUE DU JOUR;5033;75001;75101;Paris 1er Arrondissement;75;;;75101000AR0119;;;109;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;71;0;;;;;;2.345183;48.863799
