id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-815779;2020-07-01;000001;Vente;2457500;9;;AV EMILE DESCHANEL;3217;75007;75107;Paris 7e Arrondissement;75;;;75107000CE0011;;;101;;143;;;;;;;;2;2;Appartement;197;7;;;;;;2.301545;48.856287
2020-815780;2020-07-02;000001;Vente;6040000;11;;AV EMILE DESCHANEL;3217;75007;75107;Paris 7e Arrondissement;75;;;75107000CE0012;;;107;;108;;124;;125;;134;;6;2;Appartement;192;6;;;;;;2.301749;48.856151
2020-815780;2020-07-02;000001;Vente;6040000;11;;AV EMILE DESCHANEL;3217;75007;75107;Paris 7e Arrondissement;75;;;75107000CE0012;;;134;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.301749;48.856151
2020-815781;2020-07-03;000001;Vente;925000;15;;RUE CLER;2106;75007;75107;Paris 7e Arrondissement;75;;;75107000BZ0006;;;101;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.305976;48.858313
2020-815781;2020-07-03;000001;Vente;925000;15;;RUE CLER;2106;75007;75107;Paris 7e Arrondissement;75;;;75107000BZ0006;;;73;;;;;;;;;;1;4;Local industriel. commercial ou assimilé;861;0;;;;;;2.305976;48.858313
2020-815781;2020-07-03;000001;Vente;925000;15;;RUE CLER;2106;75007;75107;Paris 7e Arrondissement;75;;;75107000BZ0006;;;134;;136;;66;;;;;;3;2;Appartement;80;3;;;;;;2.305976;48.858313
2020-815785;2020-07-03;000001;Vente;135000;11;B;BD RASPAIL;8045;75007;75107;Paris 7e Arrondissement;75;;;75107000AE0012;;;123;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.326562;48.854614
2020-815789;2020-07-02;000001;Vente;5000;63;;AV DE BRETEUIL;1277;75007;75107;Paris 7e Arrondissement;75;;;75107000BJ0006;;;9;;;;;;;;;;1;2;Appartement;33;2;;;;;;2.312467;48.848063
2020-815790;2020-07-02;000001;Vente;315000;63;;AV DE BRETEUIL;1277;75007;75107;Paris 7e Arrondissement;75;;;75107000BJ0006;;;101;32.35;11;;;;;;;;2;2;Appartement;33;2;;;;;;2.312467;48.848063
2020-815795;2020-07-02;000001;Vente;1517607;17;;RUE DE LILLE;5686;75007;75107;Paris 7e Arrondissement;75;;;75107000AC0022;;;26;99.1;60;;;;;;;;2;2;Appartement;100;3;;;;;;2.330546;48.85801
