id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-817341;2020-07-01;000001;Vente;30000;7;;RUE BERGERE;0888;75009;75109;Paris 9e Arrondissement;75;;;75109000AV0085;;;21;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.346854;48.871892
2020-817342;2020-07-03;000001;Vente;954102.9;33;;RUE RICHER;8218;75009;75109;Paris 9e Arrondissement;75;;;75109000AW0014;;;5;72.55;;;;;;;;;1;2;Appartement;80;4;;;;;;2.344284;48.873917
2020-817344;2020-07-01;000001;Vente;1264900;41;;RUE GODOT DE MAUROY;4222;75009;75109;Paris 9e Arrondissement;75;;;75109000AQ0055;;;18;126.02;8;;;;;;;;2;2;Appartement;126;4;;;;;;2.327189;48.872632
2020-817348;2020-07-03;000001;Vente;220000;13;;RUE DU DELTA;2685;75009;75109;Paris 9e Arrondissement;75;;;75109000BC0092;;;60;17.58;;;;;;;;;1;2;Appartement;16;1;;;;;;2.347817;48.882214
2020-817350;2020-07-02;000001;Vente;120000;58;;RUE DES MARTYRS;6147;75009;75109;Paris 9e Arrondissement;75;;;75109000BA0001;;;1;17.65;;;;;;;;;1;4;Local industriel. commercial ou assimilé;17;0;;;;;;2.340665;48.880249
2020-817351;2020-07-07;000001;Vente;255000;9;;RUE BERGERE;0888;75009;75109;Paris 9e Arrondissement;75;;;75109000AV0065;;;29;;;;;;;;;;1;2;Appartement;14;1;;;;;;2.346625;48.871992
2020-817352;2020-07-01;000001;Vente;904300;10;;RUE MAYRAN;6223;75009;75109;Paris 9e Arrondissement;75;;;75109000BF0009;;;32;71.02;54;;;;;;;;2;2;Appartement;72;3;;;;;;2.344981;48.877407
2020-817354;2020-07-02;000001;Vente;1230000;12;;RUE DE LA BOULE ROUGE;1168;75009;75109;Paris 9e Arrondissement;75;;;75109000AW0050;;;16;;;;;;;;;;1;2;Appartement;79;4;;;;;;2.345092;48.873883
2020-817354;2020-07-02;000001;Vente;1230000;12;;RUE DE LA BOULE ROUGE;1168;75009;75109;Paris 9e Arrondissement;75;;;75109000AW0050;;;29;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.345092;48.873883
2020-817355;2020-07-03;000001;Vente;266000;5;;RUE PIERRE FONTAINE;3713;75009;75109;Paris 9e Arrondissement;75;;;75109000AC0034;;;5;;;;;;;;;;1;2;Appartement;24;2;;;;;;2.334465;48.880896
2020-817357;2020-07-08;000001;Vente;490000;12;;RUE LA BRUYERE;5211;75009;75109;Paris 9e Arrondissement;75;;;75109000AF0111;;;13;49.13;;;;;;;;;1;2;Appartement;48;2;;;;;;2.335876;48.879377
