id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-815783;2020-07-02;000001;Vente;1185000;41;;RUE CENSIER;1642;75005;75105;Paris 5e Arrondissement;75;;;75105000AU0057;;;1;;33;;;;;;;;2;2;Appartement;45;4;;;;;;2.351846;48.839848
2020-815784;2020-07-01;000001;Vente;110000;20;;RUE LAPLACE;5340;75005;75105;Paris 5e Arrondissement;75;;;75105000BL0060;;;4;7.88;;;;;;;;;1;2;Appartement;8;1;;;;;;2.347055;48.847517
2020-815787;2020-07-01;000001;Vente;850000;35;;RUE DE L ARBALETE;0405;75005;75105;Paris 5e Arrondissement;75;;;75105000AW0038;;;63;;;;;;;;;;1;2;Appartement;61;3;;;;;;2.34733;48.839226
2020-815788;2020-07-03;000001;Vente;214000;46;;RUE DE LA CLEF;2094;75005;75105;Paris 5e Arrondissement;75;;;75105000AK0061;;;19;;;;;;;;;;1;2;Appartement;7;1;;;;;;2.353006;48.842674
2020-815788;2020-07-03;000001;Vente;214000;46;;RUE DE LA CLEF;2094;75005;75105;Paris 5e Arrondissement;75;;;75105000AK0061;;;18;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.353006;48.842674
2020-815791;2020-07-01;000001;Vente;950000;15;;RUE LACEPEDE;5220;75005;75105;Paris 5e Arrondissement;75;;;75105000AK0079;;;13;66.09;;;;;;;;;1;2;Appartement;63;3;;;;;;2.352984;48.843488
2020-815797;2020-07-03;000001;Vente;215000;11;;RUE VICTOR COUSIN;9751;75005;75105;Paris 5e Arrondissement;75;;;75105000BJ0016;;;22;13.51;38;;;;;;;;2;2;Appartement;13;1;;;;;;2.342553;48.847538
2020-815803;2020-07-07;000001;Vente;120000;17;;RUE PIERRE NICOLE;7467;75005;75105;Paris 5e Arrondissement;75;;;75105000BG0058;;;33;8.77;;;;;;;;;1;3;Dépendance;;0;;;;;;2.340035;48.841237
2020-815806;2020-07-08;000001;Vente;260000;9;;RUE GEOFFROY ST HILAIRE;4108;75005;75105;Paris 5e Arrondissement;75;;;75105000AR0105;;;132;;;;;;;;;;1;2;Appartement;18;1;;;;;;2.356495;48.839103
2020-815808;2020-07-10;000001;Vente;1150000;5;;RUE DU PUITS DE L ERMITE;7887;75005;75105;Paris 5e Arrondissement;75;;;75105000AL0098;;;107;82.59;121;;;;;;;;2;2;Appartement;89;5;;;;;;2.353104;48.841973
2020-815810;2020-07-10;000001;Vente;345000;26;;RUE DES BOULANGERS;1156;75005;75105;Paris 5e Arrondissement;75;;;75105000AH0029;;;102;;122;32.53;;;;;;;2;2;Appartement;40;2;;;;;;2.353339;48.846271
2020-815811;2020-07-10;000001;Vente;475000;4;;RUE SAINT SEVERIN;8760;75005;75105;Paris 5e Arrondissement;75;;;75105000BP0037;;;34;;5;;;;;;;;2;2;Appartement;23;2;;;;;;2.346141;48.852309
