id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-814509;2020-07-01;000001;Vente;90000;47;;RUE DE COURCELLES;2387;75008;75108;Paris 8e Arrondissement;75;;;75108000BC0018;;;30;5.7;;;;;;;;;1;3;Dépendance;;0;;;;;;2.307423;48.876371
2020-814509;2020-07-01;000001;Vente;90000;47;;RUE DE COURCELLES;2387;75008;75108;Paris 8e Arrondissement;75;;;75108000BC0018;;;31;11.03;;;;;;;;;1;3;Dépendance;;0;;;;;;2.307423;48.876371
2020-814511;2020-07-03;000001;Vente;59000;13;;RUE D AGUESSEAU;0094;75008;75108;Paris 8e Arrondissement;75;;;75108000BN0039;;;48;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.319443;48.870582
2020-814512;2020-07-02;000001;Vente;45000;67;;RUE DE MIROMESNIL;6387;75008;75108;Paris 8e Arrondissement;75;;;75108000CI0019;;;75;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.315449;48.876899
2020-814513;2020-07-07;000001;Vente;30000;82;;BD MALESHERBES;5951;75008;75108;Paris 8e Arrondissement;75;;;75108000CG0021;;;178;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.314393;48.880118
2020-814516;2020-07-07;000001;Vente;130000;10;B;RUE DE MARIGNAN;6086;75008;75108;Paris 8e Arrondissement;75;;;75108000AQ0058;;;2067;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.307406;48.868413
2020-814518;2020-07-01;000001;Echange;15000;3;;RUE DU BOCCADOR;1044;75008;75108;Paris 8e Arrondissement;75;;;75108000AO0044;;;31;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.303026;48.86621
2020-814518;2020-07-01;000002;Echange;15000;3;;RUE DU BOCCADOR;1044;75008;75108;Paris 8e Arrondissement;75;;;75108000AO0044;;;40;;54;;;;;;;;2;4;Local industriel. commercial ou assimilé;127;0;;;;;;2.303026;48.86621
2020-814518;2020-07-01;000002;Echange;15000;3;;RUE DU BOCCADOR;1044;75008;75108;Paris 8e Arrondissement;75;;;75108000AO0044;;;50;;;;;;;;;;1;2;Appartement;70;6;;;;;;2.303026;48.86621
2020-814523;2020-07-03;000001;Vente;891000;10;;RUE GREFFULHE;4304;75008;75108;Paris 8e Arrondissement;75;;;75108000BS0072;;;34;;4;73.64;;;;;;;2;2;Appartement;70;3;;;;;;2.325527;48.872917
2020-814525;2020-07-07;000001;Vente;19440;24;;AV DE FRIEDLAND;3868;75008;75108;Paris 8e Arrondissement;75;;;75108000AV0023;;;49;;;;;;;;;;1;2;Appartement;50;2;;;;;;2.300115;48.87463
2020-814526;2020-07-09;000001;Vente;62800;3;;RUE MOLLIEN;6414;75008;75108;Paris 8e Arrondissement;75;;;75108000CI0005;;;51;7.75;;;;;;;;;1;3;Dépendance;;0;;;;;;2.313086;48.87715
2020-814527;2020-07-15;000001;Vente;754776;32;;RUE DE WASHINGTON;9942;75008;75108;Paris 8e Arrondissement;75;;;75108000BF0025;;;114;55.09;;;;;;;;;1;4;Local industriel. commercial ou assimilé;54;0;;;;;;2.304074;48.873481
2020-814528;2020-07-09;000001;Vente;640000;6;;RUE QUENTIN BAUCHART;7954;75008;75108;Paris 8e Arrondissement;75;;;75108000AP0077;;;16;49.74;;;;;;;;;1;2;Appartement;52;1;;;;;;2.299805;48.868858
2020-814530;2020-07-15;000001;Vente;968000;29;;RUE DE TURIN;9510;75008;75108;Paris 8e Arrondissement;75;;;75108000CD0004;;;105;80.75;136;;;;;;;;2;2;Appartement;79;4;;;;;;2.324037;48.882343
2020-814531;2020-07-02;000001;Vente;4;51;;AV MONTAIGNE;6450;75008;75108;Paris 8e Arrondissement;75;;;75108000AQ0058;;;511;;516;;519;;;;;;3;2;Appartement;65;4;;;;;;2.307406;48.868413
2020-814531;2020-07-02;000001;Vente;4;51;;AV MONTAIGNE;6450;75008;75108;Paris 8e Arrondissement;75;;;75108000AQ0058;;;516;;519;;;;;;;;2;2;Appartement;27;3;;;;;;2.307406;48.868413
2020-814531;2020-07-02;000001;Vente;4;51;;AV MONTAIGNE;6450;75008;75108;Paris 8e Arrondissement;75;;;75108000AQ0058;;;511;;513;;516;;519;;;;4;2;Appartement;20;2;;;;;;2.307406;48.868413
2020-814536;2020-07-02;000001;Vente;11;10;;RUE DE MARIGNAN;6086;75008;75108;Paris 8e Arrondissement;75;;;75108000AQ0058;;;431;;432;;;;;;;;2;3;Dépendance;;0;;;;;;2.307406;48.868413
2020-814536;2020-07-02;000001;Vente;11;10;;RUE DE MARIGNAN;6086;75008;75108;Paris 8e Arrondissement;75;;;75108000AQ0058;;;410;;411;;417;;;;;;3;3;Dépendance;;0;;;;;;2.307406;48.868413
