id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude
2020-815767;2020-12-21;000001;Vente;488000;115;;RUE SAINT ANTOINE;8490;75004;75104;Paris 4e Arrondissement;75;;;75104000AM0034;;;2;33.76;74;;;;;;;;2;3;Dépendance;;0;;;;;;2.360546;48.854873
2020-815767;2020-12-21;000001;Vente;488000;115;;RUE SAINT ANTOINE;8490;75004;75104;Paris 4e Arrondissement;75;;;75104000AM0034;;;2;33.76;74;;;;;;;;2;2;Appartement;34;2;;;;;;2.360546;48.854873
2020-815778;2020-09-08;000001;Vente;150000;15;;RUE DE L ARSENAL;0471;75004;75104;Paris 4e Arrondissement;75;;;75104000AR0009;;;11;;19;;20;;;;;;3;2;Appartement;22;1;;;;;;2.366538;48.851541
2020-833842;2020-07-02;000001;Vente;279840;3;;RUE DU PLATRE;7532;75004;75104;Paris 4e Arrondissement;75;;;75104000AG0092;;;41;22.1;76;;;;;;;;2;2;Appartement;25;2;;;;;;2.354974;48.858928
2020-833849;2020-07-09;000001;Vente;696000;35;;RUE DES DEUX PONTS;2774;75004;75104;Paris 4e Arrondissement;75;;;75104000AV0022;;;41;47;;;;;;;;;1;2;Appartement;48;2;;;;;;2.35669;48.852339
2020-833850;2020-07-03;000001;Vente;594300;15;;RUE DES ARCHIVES;0420;75004;75104;Paris 4e Arrondissement;75;;;75104000AF0042;;;29;34.15;80;;;;;;;;2;2;Appartement;37;2;;;;;;2.354842;48.858384
2020-833851;2020-07-06;000001;Vente;31000;2;B;RUE CRILLON;2440;75004;75104;Paris 4e Arrondissement;75;;;75104000AS0021;;;2;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.365509;48.848478
2020-833852;2020-07-09;000001;Vente;570000;35;;QUAI D ANJOU;0350;75004;75104;Paris 4e Arrondissement;75;;;75104000AV0030;;;11;45.15;;;;;;;;;1;2;Appartement;38;2;;;;;;2.35743;48.851958
2020-833853;2020-07-16;000001;Vente;40000;20;;RUE FERDINAND DUVAL;3583;75004;75104;Paris 4e Arrondissement;75;;;75104000AI0043;;;84;;;;;;;;;;1;3;Dépendance;;0;;;;;;2.360006;48.856598
2020-833854;2020-07-06;000001;Vente;100;22;;RUE DES LOMBARDS;5738;75004;75104;Paris 4e Arrondissement;75;;;75104000AC0108;;;50;;;;;;;;;;1;2;Appartement;15;1;;;;;;2.349417;48.859403
2020-833856;2020-07-02;000001;Vente;1335500;69;;RUE SAINT MARTIN;8694;75004;75104;Paris 4e Arrondissement;75;;;75104000AC0089;;;17;;21;;5;107.56;;;;;3;2;Appartement;110;4;;;;;;2.350166;48.859383
2020-833856;2020-07-02;000001;Vente;1335500;69;;RUE SAINT MARTIN;8694;75004;75104;Paris 4e Arrondissement;75;;;75104000AC0089;;;18;;;;;;;;;;1;2;Appartement;27;2;;;;;;2.350166;48.859383
2020-833859;2020-07-03;000001;Vente;300000;4;;PL DES VOSGES;9917;75004;75104;Paris 4e Arrondissement;75;;;75104000AO0040;;;14;6.4;15;5.2;;;;;;;2;2;Appartement;11;1;;;;;;2.365847;48.854674
2020-833859;2020-07-03;000001;Vente;300000;4;;PL DES VOSGES;9917;75004;75104;Paris 4e Arrondissement;75;;;75104000AO0040;;;16;33;;;;;;;;;1;2;Appartement;33;1;;;;;;2.365847;48.854674
2020-833861;2020-07-09;000001;Vente;290000;4;;RUE LE REGRATTIER;5599;75004;75104;Paris 4e Arrondissement;75;;;75104000AV0092;;;15;24.35;;;;;;;;;1;2;Appartement;36;1;;;;;;2.354574;48.851825
